AnimeName	comedy	shounen	drama	action	adventure	fantasy	scifi	romance	supernatural	mystery	sliceoflife	school	seinen	historical	sports	SearchContents
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	led reinhard von msel galactic empire crush free planet alliance fourth battle tiamat base series scifi novel series tell story massive conflict prussialike galactic empire free planet alliance legend galactic hero gaiden overture new battle fourth animate adaptation tanaka yoshiki legend galactic hero series novel it originally release japan 18 december 1993 the film remake two episode main ova series include new scene link event my conquest is sea stars main ova series the film detailed retell episode legend galactic hero ova series base series scifi novel series tell story massive conflict prussialike galactic empire free planet alliance the original japan title abbreviate gineiden japan englishlanguage fan abbreviate series title logh this retell episode legend galactic hero oav series legend galactic hero story epic struggle monarchic galactic empire democratic free planet alliance
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	prequel legend galactic hero focus yang wenli hero el facile handle couple assignment received ginga eiyuu densetsu gaiden 1999 second two ova adaptation side story ginga eiyuu densetsu novel series legend galactic hero gaiden fifth animate adaptation count film tanaka yoshiki legend galactic hero series novel the series originally release japan february 1998 july 2000 two military strategic genius battle backdrop century long galactic civil war these short story fill background yang wenli prior overture new war movie continue background reinhard kirchei gaiden left off these short story fill background yang wenli prior overture new war movie continue background reinhard kirchei gaiden left off
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	prequel original series focus reinhard steps chain command galactic empire ginga eiyuu densetsu gaiden two ova adaptation side story ginga eiyuu densetsu novel series this adaptation follow achievement reinhard von msel siegfry kirchei galactic empire fateful battle astarte these short story fill part background reinhard von lohengramm siegfry kirchei start main legend galactic hero series in story journey planet ice betray commanding officer investigate possible murder alma mate the gaiden series subtitle senoku hoshi senoku hikari premier year main anime this gaiden tell different anecdote rise reinhard friend kirchei military hierarchy for standing out field battle kapchelanka reinhard von msel siegfry kirchei assign fleet assignment personal recommendation deputy commander mart
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	legend galactic hero my conquest is sea stars animate adaptation tanaka yoshiki legend galactic hero series novel it originally release japan february 1988 the film serve prequel main ova series follow month later chronicle encounter combat reinhard von msel later adopt lohengramm yang wenli two primary protagonist logh series four month count von lohengramm galactic empire face yang wenli free planet alliance battle astarte reinhard von msel two interstellar army continue 150yearlong war on side midrank soldier question judgment superior officer worry future this movie base anecdote ginga eiyuu densetsu written novelist tanaka yoshiki prelude 110episodes tv series describe encounter ambitious young man reinhard von msel passive yang wenli base anecdote ginga eiyuu densetsu written novelist tanaka yoshiki legend galactic hero series science fiction novel written yoshiki tanaka in humanity distant future two interstellar states monarchic galactic empire democratic free planet alliance embroil neverend war the story focus exploit rival reinhard von lohengramm yang wenli rise power fame galactic empire free planet alliance respectively
Ginga Eiyuu Densetsu	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	legend galactic hero refer heldensagen vom kosmosinsel opening credit abbreviate lotgh gineiden japan series science fiction novel written yoshiki tanaka legend galactic hero adapt series ten novel publish 198287 yoshiki tanaka various especially two rising commander cope massive continual space conflict two interstellar nation legend galactic hero the new thesis sixth animate adaptation count film tanaka yoshiki legend galactic hero series novel for decade galactic empire lock interstellar war free planet alliance conflict involve thousand spaceship million soldier side for decade galactic empire lock interstellar war free planet alliance conflict involve thousand spaceship million soldier side the 150yearlong stalemate two interstellar superpower galactic empire free planet alliance come new generation leader arise idealist military genius reinhard von lohengramm fpa reserved historian yang wenli for century half two interstellar states wrest control milky way the galactic empire absolute monarchy rule kaiser friedrich iv entrenched nobility seek suppress rebel daring oppose inviolable crown the story focus exploit rival reinhard von lohengramm yang wenli rise power fame galactic empire free planet alliance respectively the story stage distant future own milky way galaxy start se 796ic 487ad 3596 326 portion galaxy fill terraforme world inhabit interstellar travel human being
Ginga Nagareboshi Gin	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	ginga nagareboshi gin japan manga series written illustrate yoshihiro takahashi it publish shueisha weekly shnen jump 1983 1987 collected 18 bound volumes it received 1987 shogakukan manga award best shnen series ginga nagareboshi gin adapt 21episode anime television series toei animation an akitainu puppy destined defend monstrous bear ginga nagareboshi gin mangaanime series yoshihiro takahashi the series came out 1980s widely popular scandinavia especially finland despite series asia origin it series ginga the manga publish japan china korea finland ginga nagareboshi gin adventureaction shnen manga publish shonen jump 1983 1987
Ginga Sengoku Gunyuuden Rai	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	thunder jet 52episode anime adaptation japan manga ginga sengoku gun yuuden rai written illustrate johji manabe it originally release april 1994 31 march 1995 tv tokyo network japan rai space opera fuse feudal china japan customs vast galaxy span empire spacegoe society the story follow life times samurai rai quest spacefare faction control territory course empire ginga sengoku gunyuuden rai known galaxy war state chronicle galaxy warrior rai thunder jet space opera likes beloved space battleship yamato mix theme evoke feudal japan china ginga sengoku gunyuuden rai strategy game publish angel bandai release japan 1996 after collapse sacred galaxy empire battle control milky way galaxy break out warlord the manga consist 27 volumes last november 1989 november 2001
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	some character talk regrets years anime gintama special episode gintama preview gintama harumatsuri live event promote gintama shinyaku benizakurahen movie special broadcast live event gintama harumatsuri the reason meeting ryogoku kokugikan sumo stadium tokyo heated discussion fouryearold anime release gintama dai hanseikai gintama special take place gintama the version gintama continuation humorous recap hilarious moments 201 episode version in character try reflect everything important show best moments
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	bundle limited edition 58th gintama manga volume the tagline bundle anime read its time yorozuya member wake one time this special gintama episode preview screening jump special anime festa 2014 on april 2015 bundle limited edition manga 58th volume special episode gintama preview jump festa 2014 later bundle 58th limited edition volume gintama manga this unaired episode gintama feature lake toya hermit persuade gintoki learn secret technique thought anime soon tearful episode premiere years jump super anime festa event
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	the gintama crew present preview upcoming arc biggest anime history discuss difficulty involved produce one midseason comedy short episode foodgasm extend preview sa arc trailer anime event gintama create jump festa 2015 the episode japan anime series gintama animate sunrise gintama special event anime premier jump special anime festa 2015 tour
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	gintama the movie the final chapter be forever yorozuya gekijban gintama kanketsuhen yorozuya yo eien nare 2013 japan animate film produce sunrise base gintama manga anime series the film focus freelance samurai gintoki sakata time travel story encounter old persona met edo the final chapter announce august 2012 major detail release early 2013 days anime watch watch gintama movie kanketsuhen yorozuya yo eien nare english sub hd gintama the final chapter be forever yorozuya so gintama kanketsuhen yorozuya yo eien nare gintama the movie the final chapter be forever odd job bring gekijouban gintama kanketsuhen yorozuya yo eien nare gintama the movie the final chapter be forever yorozuya anywhere watch gintama kanketsuhen yorozuya yo eien nare movie couldnt find crunchyroll watch online gekijban gintama kanketsuhen yorozuya yo eien nare japan plot summary while watch movie gintoki come movie thief figure while watch movie gintoki come movie thief figure japan culture depict man video camera head gintoki stop movie thief illegal recording toriko movie angry chastise beat outside room
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	movie version shinsengumi crisis arc kabukicho four deva arc screen select theater japan movie version shinsengumi crisis arc kabukicho four deva arc screen select theater japan demonic vicecommander shinsengumi toushirou hijikata acquire cursed swordone completely rewrite personality morph hardboile nononsense cop hopeless otaku movie version shinsengumi crisis arc kabukicho four deva arc demonic vicecommander shinsengumi toushirou hijikata acquire cursed swordone completely rewrite personality morph hardboile nononsense cop hopeless otaku movie version shinsengumi crisis arc kabukicho four deva arc screen select theater japan the series adapt original video animation ova sunrise feature jump festa 2006 anime tour 2005 gintama japan jidaigeki action comedy film written direct yichi fukuda ja star shun oguri base manga series same written illustrate hideaki sorachi in era alien invade conquer feudal tokyo young samurai seek work gintama international beloved manga series written illustrate hideaki sorachi serialise weekly shonen jump the manga sold 55 million copy
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	this special set short comedy story involve gintoki equallybroke sidekick shinpachi kagura gintoki sakata lazy samurai living modern japan samurai long need the story take place city edo presentday tokyo japan this special set short comedy story involve gintoki equally broken companion shinpachi kagura gintama japan jidaigeki action comedy film written direct yichi fukuda ja star shun oguri base manga series same written illustrate hideaki sorachi in era alien invade conquer feudal tokyo young samurai seek work gintama international beloved manga series written illustrate hideaki sorachi serialise weekly shonen jump the series received highdefinition rerun old episode tv tokyo april 2010 march 28 2011 yorinuki gintamasan included 51 select episode well new opening ending it release july 14 2017 japan warner bro pictures in japan gin tama manga popular 55 million copy print making one bestsell manga series
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	movie version shinsengumi crisis arc kabukicho four deva arc screen select theater japan movie version shinsengumi crisis arc kabukicho four deva arc screen select theater japan demonic vicecommander shinsengumi toushirou hijikata acquire cursed swordone completely rewrite personality morph hardboile nononsense cop hopeless otaku movie version shinsengumi crisis arc kabukicho four deva arc demonic vicecommander shinsengumi toushirou hijikata acquire cursed swordone completely rewrite personality morph hardboile nononsense cop hopeless otaku movie version shinsengumi crisis arc kabukicho four deva arc screen select theater japan the series adapt original video animation ova sunrise feature jump festa 2006 anime tour 2005 gintama japan jidaigeki action comedy film written direct yichi fukuda ja star shun oguri base manga series same written illustrate hideaki sorachi in era alien invade conquer feudal tokyo young samurai seek work gintama international beloved manga series written illustrate hideaki sorachi serialise weekly shonen jump the manga sold 55 million copy
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	according aniplex 10min short anime gintama shiroyasha koutan release september 30th it jump super anime tour 2008 release dvd its trailer imaginary gintama movie gintama ova jump anime tour 05 included dvd special episode broadcast jump festa 2008 included following year september 30 2009 dvd gintama jump anime tour 2008 2005 according aniplex 10min short anime gintama shiroyasha koutan release september 30th the story tell war amant staging gintoki katsura shinsuke rest oav compose comment protagonist well fake trailer oav the finale base opening famous anime one piece bleach
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	movie version shinsengumi crisis arc kabukicho four deva arc screen select theater japan movie version shinsengumi crisis arc kabukicho four deva arc screen select theater japan demonic vicecommander shinsengumi toushirou hijikata acquire cursed swordone completely rewrite personality morph hardboile nononsense cop hopeless otaku movie version shinsengumi crisis arc kabukicho four deva arc demonic vicecommander shinsengumi toushirou hijikata acquire cursed swordone completely rewrite personality morph hardboile nononsense cop hopeless otaku movie version shinsengumi crisis arc kabukicho four deva arc screen select theater japan the series adapt original video animation ova sunrise feature jump festa 2006 anime tour 2005 gintama japan jidaigeki action comedy film written direct yichi fukuda ja star shun oguri base manga series same written illustrate hideaki sorachi in era alien invade conquer feudal tokyo young samurai seek work gintama international beloved manga series written illustrate hideaki sorachi serialise weekly shonen jump the manga sold 55 million copy
Gintama&#039;	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	gin tama japan manga written illustrate hideaki sorachi serialize beginning december 2003 shueisha weekly shnen jump the series adapt original video animation ova sunrise feature jump festa 2006 anime tour 2005 gintama japan jidaigeki action comedy film written direct yichi fukuda ja star shun oguri base manga series same written illustrate hideaki sorachi in era alien invade conquer feudal tokyo young samurai seek work gintama international beloved manga series written illustrate hideaki sorachi serialise weekly shonen jump the manga sold 55 million copy it announce niconico live stream saturday december 21 gintama anime series get new film adaptation set release early 2021 the gintama manga author sorachi hideaki shounen jump anime adaptation create sunrisebandai namco it core postmodernist comedy period drama sciencefiction mixed the series received highdefinition rerun old episode tv tokyo april 2010 march 28 2011 yorinuki gintamasan included 51 select episode well new opening ending it release july 14 2017 japan warner bro pictures in japan gin tama manga popular 55 million copy print making one bestsell manga series
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	this third season gintama in episode continuity correspond episode 253265 gintama gintama enchousen include moments actionpacke intensity usual lighthearte slapstick humor gintoki friends despite gintama enchousen short previous season bring action comedy part show leave stay one step ahead gintama enchsen base gin tama manga hideaki sorachi gintama enchsen use two opening two ending contain select episode previous season gintama new episode 253265 while gintoki sakata away yorozuya new leader kintoki gintoki goldenhaire doppelganger this shortest season gintama love everything the series premier tv tokyo october 2012 there difference season gintama one important gintama get serious season comedy one second third bit serious
Gintama	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	gin tama japan manga written illustrate hideaki sorachi serialize beginning december 2003 shueisha weekly shnen jump the series adapt original video animation ova sunrise feature jump festa 2006 anime tour 2005 gintama japan jidaigeki action comedy film written direct yichi fukuda ja star shun oguri base manga series same written illustrate hideaki sorachi in era alien invade conquer feudal tokyo young samurai seek work gintama international beloved manga series written illustrate hideaki sorachi serialise weekly shonen jump the manga sold 55 million copy it announce niconico live stream saturday december 21 gintama anime series get new film adaptation set release early 2021 the gintama manga author sorachi hideaki shounen jump anime adaptation create sunrisebandai namco it core postmodernist comedy period drama sciencefiction mixed the series received highdefinition rerun old episode tv tokyo april 2010 march 28 2011 yorinuki gintamasan included 51 select episode well new opening ending it release july 14 2017 japan warner bro pictures in japan gin tama manga popular 55 million copy print making one bestsell manga series
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	gintama manga volumes 65 66 bundle ova adapt love potion arc when love potion unleash edo hilarity ensue everyone romantic affection out control the cast crew gintama aizome kaorihen participate convention fanmeet in love potion story arc strange incense cause smell fall love see gintama aizome kaorihen event take place jworld tokyo gin tama japan manga written illustrate hideaki sorachi serialize beginning december 2003 shueisha weekly shnen jump the series adapt original video animation ova sunrise feature jump festa 2006 anime tour 2005 gintama japan jidaigeki action comedy film written direct yichi fukuda ja star shun oguri base manga series same written illustrate hideaki sorachi in era alien invade conquer feudal tokyo young samurai seek work gintama international beloved manga series written illustrate hideaki sorachi serialise weekly shonen jump the manga sold 55 million copy
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	gin tama japan manga written illustrate hideaki sorachi serialize beginning december 2003 shueisha weekly shnen jump the series adapt original video animation ova sunrise feature jump festa 2006 anime tour 2005 gintama japan jidaigeki action comedy film written direct yichi fukuda ja star shun oguri base manga series same written illustrate hideaki sorachi in era alien invade conquer feudal tokyo young samurai seek work gintama international beloved manga series written illustrate hideaki sorachi serialise weekly shonen jump the manga sold 55 million copy it announce niconico live stream saturday december 21 gintama anime series get new film adaptation set release early 2021 the gintama manga author sorachi hideaki shounen jump anime adaptation create sunrisebandai namco it core postmodernist comedy period drama sciencefiction mixed the series received highdefinition rerun old episode tv tokyo april 2010 march 28 2011 yorinuki gintamasan included 51 select episode well new opening ending it release july 14 2017 japan warner bro pictures in japan gin tama manga popular 55 million copy print making one bestsell manga series
Girls und Panzer der Film	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	girl und panzer der film 2015 japan animate school action drama science fiction film direct tsutomu mizushima the film sequel anime television series girl und panzer it release november 21 2015 japan the success film spawn six part anime theatrical film series titled girl und panzer the final chapter set event film ooari girl academy face close tankery club girl participate match save school permanent closure girl und panzer der film anime film direct sequel girl und panzer tv anime series winner 2016 sanctuary award japan movie critic award the 2015 film girl und panzer der film hit following release beloved installment girl und panzer franchise girl und panzer der film variante recreate film manga beginning same point exhibition match commemorate oarai girl high school victory 63rd senshado tournament girl und panzer der film shatter japan 2015 box office dvd sales record
Glass no Kamen (2005)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	glass mask japan shjo manga series written illustrate suzue miuchi serialize hana yume january 1976 collected 49 tankbon volumes october 2012 the story adapt anime liveaction television series as 2006 collected volumes 50 million copy japan making second bestsell shjo manga maya dreamy young girl clumsy match absentminded the original story dates 1976 miuchi serialise hakusensha hana yume magazine mask of glass made tv anime 1984 later oav series 1998 at 13 years old maya kitajima seem destined spend rest life toil crowded restaurant alongside bitter unstable mother glass mask japan shjo manga series written illustrate suzue miuchi serialize hana yume january 1976 collected 49 tankbon volumes october 2012 the story adapt anime live action television series glass mask saga depict devotion maya kitajima perform arts professional stage actress competition skilled rival ayumi himekawa
Golden Boy	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	golden boy japan comedy manga series written illustrate tatsuya egawa 25yearold freeter pervert travel student name kintaro oe the manga originally serialize shueisha super jump start 1991 collected volume release following year parts manga adapt sixepisode original video animation ova series produce shueisha kss 1995 subsequent release adv film north america december 1996 university dropout ride japan bicycle taking parttime job try take women kintarou ooe specialist parttime work riding highway byways japan trusty steed mikazuki finding employment golden boy ova anime series base same name manga the golden boy ova positively received englishlanguage reviewer widely known mature content ova strict hentai animation in 2010 19th issue business jump announce sequel golden boy manga works the beginning volume episode golden boy place kintaro opposite young beautiful woman interest disdain serve basis plot golden boy release japan vhs later laserdisc
Gosick	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	gosick japan light novel series written kazuki sakuraba illustration hinata takeda the series include 13 novel publish fujimi shobo december 2008 july 2011 set fictional europe country 1924 japan exchange student meet mysterious brilliant girl leaves library sleep gosick take place 1924 small frenchspeake fictional europe country stretch switzerland alps france italy mediterranean sea kazuya kujou foreign student saint marguerite academy luxurious boarding school southern europe country sauville gosick set fictional europe country sauville 1920s kazuya kujo transfer student st marguerite academy place myth superstition abundant the story center kazuya kujo third son japan imperial soldier transfer student st marguerite academy urban legend horror story rage gosick japan light novel series written kazuki sakuraba illustrate hinata takeda publish fujimi shobo the series include 13 novel publish fujimi shobo december 2008 july 2011
Great Teacher Onizuka	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	great teacher onizuka japan manga series written illustrate tooru fujisawa it originally serialize weekly shnen magazine january 1997 february 2002 the story focus 22yearold exbszoku member eikichi onizuka the great teacher onizuka manga sold 50 million copy november 2007 onizuka reform bike gang leader sight set honorable new ambition world greatest teacher eikichi onizuka main protagonist great teacher onizuka gto series great teacher onizuka gto revolve eccentric mischievous teacher afraid brazen admit pervert great teacher onizuka anime series ran 1999 2000 great teacher onizuka officially abbreviate gto japan shnen manga written illustrate tooru fujisawa the story focus 22yearold exbszoku member eikichi onizuka teacher private middle school
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	the fruit grisaia 13episode anime television series base visual novel same front wing the anime animate eight bit produce nbcuniversal direct tensho anime adaptation the fruit grisaia sequel le labyrinthe la grisaia le eden la grisaia premier april 2015 have attend mihama academy year yuuji kazami seemingly place school sudden decide pursue promotion cir yji kazami save heart five girl mihama academy own heart cloud dark roughly year arrival mihama academy yuuji make unexpected decision pursue promotion institution works
Grisaia no Rakuen	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	the fruit grisaia japan adult visual novel series visual novel front wing character designs akio watanabe fumio it release february 2011 window later port playstation portable playstation vita the fruit grisaia romance visual novel player assume role yji kazami grisaia rakuen begin right previous installment grisaia meikyuu grisaia rakuen third visual novel trilogy it take place event grisaia meikyuu yuuji past haunt mihama academy prisonlike school built preserve fruit fallen tree grisaia rakuen the eden grisaia third part grisaia trilogy grisaia kajitsu start off grisaia meikyuu yuuji arrest suspect terrorism the final chapter grisaia series kazami yuuji new student mihama academy mysterious intelligent turn lives five girl upside down boy try find paradise lost arrive secluded garden world five girl
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	gamble apocalypse kaiji japan manga series written illustrate nobuyuki fukumoto it publish kodansha weekly young magazine february 1996 the story center kaiji it consummate gamble misadventure gamble the japan anime television series gyakky burai kaiji ultimate survivor known simply kaiji ultimate survivor base part tobaku mokushiroku kaiji manga series kaiji it written illustrate nobuyuki fukumoto kaiji itou goodfornoth loiter spend days drink beer steal hubcapsthat end trick coworker kaiji itou goodfornoth loiter spend days drink beer steal hubcapsthat end trick coworker after graduate high school 1996 japan it kaiji move tokyo job fail find steady employment country mire recession world war ii gyakky burai kaiji ultimate survivor adapt 26episode anime television series base part manga 13 volumes airing october 2007 april 2008 toole describe kaiji ultimate survivor fantastic ugly cheap animate martin state use oldschool artistic style note use nose huge lethal sharp extraheavy lines character designs limited animation
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	gamble apocalypse kaiji japan manga series written illustrate nobuyuki fukumoto it publish kodansha weekly young magazine february 1996 the story center kaiji it consummate gamble misadventure gamble the japan anime television series gyakky burai kaiji ultimate survivor known simply kaiji ultimate survivor base part tobaku mokushiroku kaiji manga series kaiji it written illustrate nobuyuki fukumoto kaiji itou goodfornoth loiter spend days drink beer steal hubcapsthat end trick coworker kaiji itou goodfornoth loiter spend days drink beer steal hubcapsthat end trick coworker after graduate high school 1996 japan it kaiji move tokyo job fail find steady employment country mire recession world war ii gyakky burai kaiji ultimate survivor adapt 26episode anime television series base part manga 13 volumes airing october 2007 april 2008 toole describe kaiji ultimate survivor fantastic ugly cheap animate martin state use oldschool artistic style note use nose huge lethal sharp extraheavy lines character designs limited animation
Hachimitsu to Clover II	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	honey clover japan manga series written illustrate chica umino it known hachikuro hc it publish shueisha initially serialize june 2000 july 2006 magazine cutiecomic young you chorus collected ten bound volumes the honey clover manga written illustrate chika umino publish shueisha hachimitsu clover ii air fuji television noitamina block back journey japan yuuta takemoto reminisce college life he mature significant second year motivate move forward the sequel final installment highly popular series delve life story love lives takemoto yuuta mayama takumi morita shinobu the story continue season left off takemoto selfdiscovery journey japan honey clover commonly abbreviate hachikuro hc manga series written illustrate chica umino honey clover adapt anime 2005 film 2006 well japan taiwan drama 2008
Hachimitsu to Clover	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	honey clover japan manga series written illustrate chica umino it known hachikuro hc it publish shueisha initially serialize june 2000 july 2006 magazine cutiecomic young you chorus collected ten bound volumes the series depict lives relationship group art school student live same apartment building in 2003 manga won 27th kodansha manga award shjo hachimitsu clover anime air fuji television noitamina block hachimitsu clover heartwarming tale youth love soulsearch selfdiscovery intricate woven complex relationship five dear friends yuuta takemoto poor college student lives dilapidated apartment building two friends shinobu morita takumi mayama honey clover commonly abbreviate hachikuro hc manga series written illustrate chica umino it publish magazine cutiecomic young you chorus the series won kodansha manga award shjo category 2003
Haibane Renmei	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	haibane renmei japan anime television series it base original djinshi manga series yoshitoshi abe the haibane old home release 1998 2002 left unfinished work anime the 13episode series animate radix broadcast animax october december 2002 respective network world including english network southeast asia france title ail grise grey wings born cocoon village old home young haibanea halo small gray wingsawaken world understand memory past haibane renmei tell rakka story live lives memory past try break free pain ultimately find salvation young girl reborn angellike creature call haibane memory dream fall sky birth rakka born large cocoon old home greet group female small wings back shining halo head nobody know haibane human the haibane allow leave town sacred law despite brevity anime haibane renmei complex mysterious mythology creator yoshitoshi abe leaves interpretation haibane renmei resource help in longforgotten wall town human coexist haibane angeliclike being unknown origin
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	after victory aoba jousai high karasuno high school call fallen powerhouse crow fly finally reach climax heated spring tournament no background information add pick second season boys prepare finally face off right represent prefecture volleyball national championship after victory aoba jousai high karasuno high school call fallen powerhouse crow fly finally reach climax heated spring tournament this anime greatest season means got merit pretty heavy sports series despite known the fallen champion karasuno determined take down powerhouse shiratorizawa high volleyball team after winning match aoba jousai karasuno earn right battle favorite team national shiratorizawa gakuen
Haikyuu!! Second Season	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	haikyu japan shnen manga series written illustrate haruichi furudate haikyuu second season sequel anime adaptation ongoing manga same haikyuu following participation interhigh karasuno high school volleyball team attempt refocu effort aim conquer spring tournament after lose aoba johsai interhigh karasuno high volleyball team working hardest spring tournament the second season haiky animation series ran october 20151 march 26 2016 hinata kageyama karasuno volleyball team fair share loss wont keep down long following participation interhigh karasuno high school volleyball team attempt refocu effort aim conquer spring tournament it sequel first season air april 2014september 21 2014 second season air october 2015 march 27 2016 without captain sawamura team karasuno struggle mojo put out best performance
Haikyuu!!	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	haikyu japan shnen manga series written illustrate haruichi furudate haikyuu second season sequel anime adaptation ongoing manga same haikyuu following participation interhigh karasuno high school volleyball team attempt refocu effort aim conquer spring tournament after lose aoba johsai interhigh karasuno high volleyball team working hardest spring tournament the second season haiky animation series ran october 20151 march 26 2016 hinata kageyama karasuno volleyball team fair share loss wont keep down long following participation interhigh karasuno high school volleyball team attempt refocu effort aim conquer spring tournament it sequel first season air april 2014september 21 2014 second season air october 2015 march 27 2016 without captain sawamura team karasuno struggle mojo put out best performance
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	this list episode hajime ippo fight spirit anime series base manga series written george morikawa special episode included dvd it tell takamura start boxing boxer fist round 76 anime adaptation morikawa jouji hajime ippo series hajime ippo sports drama anime series direct satoshi nishimura produce studio madhouse the anime adaptation awardwinn manga series written drawn george morikawa hajime ippo japan boxing manga series written illustrate george morikawa it serialize kodansha weekly shnen magazine october 1989 collected 127 tankbon volumes february 2020 the manga 96 million copy print making one bestsell manga series in 1991 hajime ippo won 15th kodansha manga award shnen category
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	hajime ippo champion road tv special season hajime ippo air april 18 2003 part ntv friday road show it cover ippo title defence match japan featherweight champion it follow ova extra round kimura tatsuya vs mashiba ry manga story event ova take place the challenge champion ippo makunouchi now wear featherweight championship belt japan as new champion ippo now protect title best boxer available television film titled hajime ippo champion road air april 18 2003 makunouchi ippo new featherweight champion japan now ready title defense ippo ready face greatest test boxer opponent completely he fought the tv film champion road release north america january the manga 73 million copy print september 2008
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	kimura vs mashiba ova following title match jbc junior lightweight championship kimura tatsuya mashiba ry it cover chapter 270289 manga it anime season hajime ippo literally 78th episode series an ova feature fight champion mashiba challenge kimura kimura finally championship match for years now ippo sempai kimura struggle reach top lightweight division title elude the season follow two tv film champion road mashiba kimura collective cover chapter 270314
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	hajime ippo new challenge hajime ippo the fight new challenge second television anime base hajime ippo produce years anime conclude it adapt new challenge saga manga entire bit start rising saga it debut january 6th 2009 2529 nippon television ran june 30 same year time the story resume series miyata ichir arnie gregory story arc japan featherweight champion ippo makunouchi successful defend retain title hajime ippo the fight 76 episode cover chapter 1269 original manga ippo makunouchi continue boxing career goal knowing meaning strong desire fight idol ichiro miyata ippo continue career professional boxer try live role japan champion the new series went development due high rating rerun series story resume series miyata ichir arnie gregory story arc
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	hajime ippo new challenge hajime ippo the fight new challenge second television anime base hajime ippo produce years anime conclude it adapt new challenge saga manga entire bit start rising saga it debut january 6th 2009 2529 nippon television ran june 30 same year time the story resume series miyata ichir arnie gregory story arc japan featherweight champion ippo makunouchi successful defend retain title hajime ippo the fight 76 episode cover chapter 1269 original manga ippo makunouchi continue boxing career goal knowing meaning strong desire fight idol ichiro miyata ippo continue career professional boxer try live role japan champion the new series went development due high rating rerun series story resume series miyata ichir arnie gregory story arc
